DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:56:51 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\set-2\1.bmp
WARN  | Tue Jul 28 21:56:51 IST 2020 : Same named file exists : 1.bmp
INFO  | Tue Jul 28 21:56:51 IST 2020 : Skipping the file (not even renaming)
INFO  | Tue Jul 28 21:56:51 IST 2020 : 1 of 2 copied
DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:56:51 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 21:56:51 IST 2020 : Same named file exists : 1.bmp
INFO  | Tue Jul 28 21:56:51 IST 2020 : Skipping the file (not even renaming)
INFO  | Tue Jul 28 21:56:51 IST 2020 : 2 of 2 copied
DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:51 IST 2020 : Setting UI for files in bucket...
